startup_name,industry,business_model,current_stage,country,funding_target,team_size,founder_experience,problem_statement,target_customers,key_competitors,gtm_strategy
Tsumobi,Software,SaaS,Prototype,US,461866864,144,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
64x Bio,Enterprise,B2B,Growth,US,214354053,70,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
Prophecy Sciences,Software,SaaS,Series A,US,41035899,31,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Intuned,Software,SaaS,Growth,US,309265940,164,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
ParcelBio,Games_Video,B2C,Prototype,US,218232439,149,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
HelpWear,Software,SaaS,Series B,CA,772547315,197,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Archbee,Software,SaaS,MVP,RO,735095816,184,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Swerve,Finance,B2B,Series B,US,667724828,166,Intermediate,Financial services remain inaccessible and expensive.,SMEs,"Razorpay, CRED, Groww, PhonePe",Enterprise Sales
Fume,Software,SaaS,Seed,US,21507103,11,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Greywing,Software,SaaS,Series A,SG,97455101,49,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Drapr,Software,SaaS,Seed,US,12854428,13,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
buildspace,Software,SaaS,Idea,US,3659991,2,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Mystic,Software,SaaS,Series B,GB,409348041,90,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Andson Biotech,Education,Subscription,Series A,US,65419923,45,Intermediate,Students need engaging digital learning.,Students,"BYJU'S, Unacademy, PhysicsWallah",Campus Ambassador Program
Ten Lives,Software,SaaS,Seed,Unknown,24113990,15,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Preflight,Software,SaaS,Seed,US,29650284,6,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Humi,Software,SaaS,Prototype,CA,605004023,153,Intermediate,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Polymath Robotics,Games_Video,B2C,Series A,US,72223060,42,Intermediate,Players demand better gaming experiences.,Gamers,"Dream11, MPL",Influencer Marketing
Latent Space,Software,SaaS,Idea,ID,4532952,2,Experienced,Businesses struggle with inefficient software workflows.,Businesses,"Notion, Slack, Atlassian",Product-Led Growth
Finary.com,Enterprise,B2B,Series B,FR,250947486,140,Intermediate,Large organizations need workflow automation.,Large Enterprises,"Zoho, Freshworks",Direct Sales
